iter	Logloss
0	0.6926380568
1	0.6921084846
2	0.6915488615
3	0.691141642
4	0.6906943212
5	0.690318738
6	0.6898948026
7	0.6894163247
8	0.6889998423
9	0.688629459
10	0.6883415983
11	0.6879499656
12	0.6876249307
13	0.6872831923
14	0.6869343144
15	0.6866046764
16	0.6862748363
17	0.6859448
18	0.6856520266
19	0.6853342435
20	0.6850411987
21	0.6847511996
22	0.6844876255
23	0.6842352483
24	0.6839823279
25	0.6837239097
26	0.6834689183
27	0.6832247327
28	0.6830052501
29	0.6827749312
30	0.6825923793
31	0.6823921662
32	0.6821816558
33	0.6819337833
34	0.6817377038
35	0.6815210684
36	0.6813286502
37	0.6811371501
38	0.6809214178
39	0.6807350143
40	0.6805368998
41	0.6803321219
42	0.6801506495
43	0.6799849385
44	0.6798285026
45	0.6796442695
46	0.6794717534
47	0.6792990518
48	0.6791348278
49	0.6789538947
50	0.678819747
51	0.678679488
52	0.6785384355
53	0.678384691
54	0.678221552
55	0.6780788215
56	0.6779243207
57	0.6777815654
58	0.6776181948
59	0.6774774626
60	0.6773855468
61	0.6772337823
62	0.6771008428
63	0.676966184
64	0.6768573854
65	0.67671615
66	0.6765866686
67	0.6764658756
68	0.6763294449
69	0.6762113226
70	0.6760765921
71	0.6759612113
72	0.6758361253
73	0.6757204557
74	0.6756041699
75	0.6754841001
76	0.6753630594
77	0.675248597
78	0.6751478698
79	0.6750709146
80	0.6749631127
81	0.6748768016
82	0.6747469677
83	0.6746351292
84	0.6745348983
85	0.6744184313
86	0.674320484
87	0.6741962076
88	0.6741075795
89	0.6739944944
90	0.6739196521
91	0.6738396011
92	0.6737118903
93	0.6736105911
94	0.6735231625
95	0.673424417
96	0.6733428796
97	0.6732323802
98	0.673131522
99	0.6730564656
100	0.6729881525
101	0.6728612572
102	0.6727858323
103	0.6726806878
104	0.6726079137
105	0.672524257
106	0.6723993848
107	0.6723238909
108	0.672215896
109	0.6721292132
110	0.6720368733
111	0.6719680222
112	0.6718976528
113	0.6718054676
114	0.6717420694
115	0.671678432
116	0.6716072708
117	0.6715234336
118	0.6714251102
119	0.6713224837
120	0.6712642948
121	0.671178568
122	0.6710987165
123	0.6710257442
124	0.6709465168
125	0.6708521798
126	0.6707748462
127	0.6706737055
128	0.6705940712
129	0.6705277129
130	0.6704428077
131	0.670369242
132	0.6702711314
133	0.6701933757
134	0.6701162245
135	0.6700301814
136	0.6699490267
137	0.6698729711
138	0.66981438
139	0.6697598826
140	0.6696893507
141	0.6696016579
142	0.6695276156
143	0.6694653886
144	0.6694165131
145	0.6693504559
146	0.6692826272
147	0.6692131566
148	0.6691220871
149	0.6690636605
