Dataset and number of selected features,Accuracy,F-Score,Precision,Sensitivity,TP,FN,FP,TN,Training time
xgboost_p300_all,61.593429,17.385159,62.278481,10.102669,492,4378,298,7007,2.5336692333221436
xgboost_p300_6,61.043121,13.020356,60.891938,7.289528,355,4515,228,7077,1.7934720516204834
xgboost_p300_4,61.462012,16.363636,62.027027,9.425051,459,4411,281,7024,2.288619041442871
