Dataset and number of selected features,Accuracy,F-Score,Precision,Sensitivity,TP,FN,FP,TN,Training time
lightgbm_p300_all,61.330595,29.245567,54.540359,19.979466,973,3897,811,6494,0.6210620403289795
lightgbm_p300_6,61.445585,33.019406,54.115996,23.757700,1157,3713,981,6324,0.13407015800476074
lightgbm_p300_4,61.051335,26.820988,53.975155,17.843943,869,4001,741,6564,1.3021867275238037
