epoch,accuracy,loss,val_accuracy,val_loss
0,0.8481249809265137,6.080443382263184,0.8725000023841858,1.8836827278137207
1,0.8824305534362793,1.3447011709213257,0.8877778053283691,0.93570876121521
2,0.8849305510520935,0.8503533005714417,0.8844444155693054,0.7174962162971497
3,0.89083331823349,0.6819205284118652,0.8983333110809326,0.6068662405014038
4,0.8959027528762817,0.6054167151451111,0.9075000286102295,0.5570850968360901
5,0.8976389169692993,0.5646705627441406,0.9105555415153503,0.5294147729873657
6,0.9011805653572083,0.5602105259895325,0.9272222518920898,0.5101267099380493
7,0.903124988079071,0.5801920294761658,0.9202777743339539,0.5389184951782227
8,0.9084722399711609,0.5976502895355225,0.9308333396911621,0.5737057328224182
9,0.9119444489479065,0.6050130724906921,0.9247221946716309,0.5736121535301208
10,0.9161805510520935,0.6309325098991394,0.9258333444595337,0.646801769733429
11,0.9227083325386047,0.6247148513793945,0.9383333325386047,0.6562061905860901
12,0.9255555272102356,0.6555567979812622,0.9211111068725586,0.6610498428344727
13,0.9297916889190674,0.6449854969978333,0.9394444227218628,0.609265923500061
14,0.9376388788223267,0.6254504323005676,0.9386110901832581,0.5954506993293762
15,0.9398611187934875,0.6207226514816284,0.9405555725097656,0.6457661986351013
16,0.9447916746139526,0.5987349152565002,0.9491666555404663,0.5703288316726685
17,0.9435416460037231,0.5858951807022095,0.9505555629730225,0.5980579853057861
18,0.9461110830307007,0.616486132144928,0.9497222304344177,0.6191698312759399
19,0.9497222304344177,0.5871719121932983,0.9524999856948853,0.5884588360786438
20,0.956250011920929,0.5483501553535461,0.9555555582046509,0.5726698637008667
21,0.9586805701255798,0.556146502494812,0.9599999785423279,0.5097790360450745
22,0.956458330154419,0.568348228931427,0.9619444608688354,0.5472553372383118
23,0.9597916603088379,0.5328236818313599,0.9547222256660461,0.5897722840309143
24,0.9629861116409302,0.5279787182807922,0.9558333158493042,0.5249989032745361
25,0.9605555534362793,0.534032940864563,0.9619444608688354,0.5507898926734924
26,0.9645833373069763,0.5124496817588806,0.9591666460037231,0.5705633163452148
27,0.9640972018241882,0.5202740430831909,0.9669444561004639,0.47844377160072327
28,0.9661805629730225,0.4967348575592041,0.9616666436195374,0.5180748701095581
